Year,Session Title,Type,Chair Institution,Chair Institution,Participant(s),Participant(s) Paper(s) (if applicable),Participant(s) Institution,Start Time,Day,Topical Index Categories,AHA Affiliated Societies
1975,How Can the AHA Best Serve the Teaching of History?,Panel,,"University of California, Santa Barbara",,,University of Delaware,7:00 PM,1,"Historical profession, Teaching",
,,,,,,,University of Chicago,,,,
,,,,,,,"University of California, Irvine",,,,
,,,,,,,"State University of New York, Buffalo",,,,
1975,Committee on Women Historians' Colloquium on Professional Issues,Paper Presentation,,American Historical Association,,The Woman Graduate Student,University of Virginia,7:00 PM,1,,
,,,,,,Part-time Employment,University of Maryland,,,,
,,,,,,Affirmative Action,Indiana University Southeast,,,,
1975,Politics and Justice in Ancient Courts,Paper Presentation,,"University of North Carolina, Chapel Hill",,The Political Implication of Miltiades’ Two Trials,"University of Illinois, Chicago Circle",9:30 AM,2,Ancient,
,,,,,,Law & Order: Roman Republican Politics and the Courts,"University of Illinois, Urbana-Champaign",,,,
,,,,,,The Adultery Trials of the Two Julias,University of Washington,,,,
1975,On the 450th Anniversary of the Peasants' War: A Reassessment,Paper Presentation,,Princeton University,,The Importance of the Peasants' War for an Interpretation of the Reformation,"University of California, Santa Barbara",9:30 AM,2,"Peasants, Political, Reformation, Renaissance",
,,,,,,"Clerical Lords and German Peasants, 1525: The Economic Basis for Anticlericalism",University of Warwick,,,,
,,,,,,The Reformation and the Peasants’ War,"Graduate Center, City University of New York",,,,
1975,Involuntary Labor in Early Modern Mediterranean Societies,Paper Presentation,,"Hunter College, City University of New York",,Mediterranean Galleys in the Context of Historical Penology,University of Minnesota,9:30 AM,2,"Comparative, Labor, Medieval, United States",
,,,,,,Christian Captives at ‘Hard Labor’ in Early Modern North Africa,University of Kentucky,,,,
,,,,,,Crime and Punishment in Early Modern Spain,,,,,
1975,The American Revolution and the Spirit of Capitalism,Paper Presentation,,University of Michigan,,Economic Rationalism and the Rationale for Revolution,San Diego State University,9:30 AM,2,"Bicentennial, Economic",
,,,,,,"Economics, Ideology, and the Rhetoric of Revolution in Pennsylvania","University of Wisconsin, Madison",,,,
1975,Three Blind Men and the Elephant: European Industrialization from Agrarian Perspectives,Paper Presentation,,Emory University,,Land and Climate,La Trobe University,9:30 AM,2,"Agriculture, Comparative, Economic, Industry, Technology",Agricultural History Society
,,,,,,Technological Change in Agriculture and Industry,Yale University,,,,
,,,,,,Private Property and Economic Incentives,University of Washington,,,,
1975,"Problems of Imperial Russia's Government and Bureaucracy: Yaney's ""Systematization of Russian Government""",Panel,,"University of California, Berkeley",,,Harvard University,9:30 AM,2,Russia,
,,,,,,,Indiana University,,,,
,,,,,,,University of Maryland,,,,
1975,The Brazilian Oligarchy during the Old Republic,Paper Presentation,,"University of Texas, Austin",,The Pessoas of Paraíba,"John Jay College, City University of New York",9:30 AM,2,"Brazil, Latin America ",
,,,,,,The Oligarchy in Pernambuco,"University of California, Santa Barbara",,,,
1975,"Land Tenures in the Modern Middle East: Economical, Social, and Political Consequences",Paper Presentation,,University of Chicago,,"Aspects of Land Tenure in Lower Iraq, 1869 - 1914",University of Toronto,9:30 AM,2,"Economic, Middle East",
,,,,,,The Changes in the Land Tenure System and their Affects on the Social and Political Structure of the Middle East in the Nineteenth Century,"University of Wisconsin, Madison",,,,
,,,,,,The Musha’ Land System in Late Nineteenth- and Early Twentieth-Century Palestme,University of Michigan,,,,
1975,Family History in Africa,Paper Presentation,,Columbia University,,Syncretism in African Family Life: A Study of Marriage and Household Structure among the Modern Elite in Colonial Lagos,Stanford University,9:30 AM,2,"Africa, Family",
,,,,,,Problematic Patriarchy: Muslim Families in Colonial Mombasa,"University of California, Los Angeles",,,,
,,,,,,"Family History in a Pre-Colonial Setting: Changing Modes in Households
in Ukambani (Kenya): circa 1810-80",Stanford University,,,,
1975,Separatism and Equality - Or Unity and Subordination: A Cross-Cultural Investigation of Women's Participation in Socialist Movements Before World War I,Paper Presentation,,Polytechnic Institute of New York,,Conflicting Loyalties: German Social Democrats Confront the Woman Question,,9:30 AM,2,"Women, Comparative, Europe, France, Germany, Russia",
,,,,,,Causes and Choices: French Working Women in the Face of Feminism and Socialism,University of Melbourne,,,,
,,,,,,"Russian Social-Democracy and the Woman Question, 1905-14",University of Akron,,,,
1975,Modernism and Science in France and England: 1890-1914,Paper Presentation,,St. Louis University,,"Religious Modernism and Science: The New Apologetic in France, 1890 - 1914",Portland State University,9:30 AM,2,"Europe, France, Great Britain, Religion, Science",
,,,,,,"English Catholic Modernism and Science, 1890 - 1911",Illinois Institute of Technology,,,,
1975,Two Reconstructions in Historical Perspective,Paper Presentation,,Stanford University,,"Retreat from Reconstruction: What Went Wrong, 1865-77",Rutgers University,9:30 AM,2,United States,
,,,,,,The Second Reconstruction: 1954-75,Howard University,,,,
1975,Documenting the 'Woman Movement': A Workshop on Oral History Techniques,Other,,Columbia University,,When is Oral History a Valid Research Technique?,"University of California, Berkeley",9:30 AM,2,"Women, Oral, Teaching, United States",
,,,,,,Oral History: A Tool for Teacher Training,Winthrop College,,,,
,,,,,,Taping the Suffragists,College of Charleston,,,,
1975,Urban Crime and Economics: Comparative Analyses,Paper Presentation,,"University of Illinois, Urbana-Champaign",,"London, 1800 - 1970",Northwestern University,9:30 AM,2,"Comparative, Crime & Violence, Economic, Europe, Germany, Great Britain, India, Urban",
,,,,,,Nineteenth-Century Germany,Case Western Reserve University,,,,
,,,,,,,University of Pennsylvania,,,,
,,,,,,"Calcutta, 1800 - 1970","University of Texas, Dallas",,,,
1975,Responses to Violence in Recent American History,Paper Presentation,,University of Kansas,,Responses to Criminal Violence in the 1960s and 1970s: The Intellectuals’ Dilemma,"University of Houston, Clear Lake City",9:30 AM,2,"Crime & Violence, Intellectual, Social, United States",
,,,,,,The Phenomenology of Vigilantism in Contemporary America,University of South Carolina,,,,
1975,Unemployment Relief During the Great Depression: The Local System and the Recipient,Paper Presentation,,"US Department of Health, Education, and Welfare",,"Changing Patterns of Assistance in New York City, 1929-33",New School for Social Research,9:30 AM,2,United States,
,,,,,,Personal Perceptions of failure in the 1930s: Relief Recipients in a Small Midwestern City,Bowling Green State University,,,,
1975,Private Peace Missions in the Twentieth Century,Paper Presentation,,University of Akron,,"Pacifists’ Search for a Negotiated Peace during the First World War, 1911-17",Rice University,9:30 AM,2,"Europe, Germany, Great Britain",
,,,,,,"Reasoning with Herr Hitler: The Personal Diplomacy of Lord Allen of Hurtwood, 1935-38","University of Arkansas, Fayetteville",,,,
,,,,,,British Pacifism and the Fascist Dictatorships: George Lansbury and the Peace Missions of the 1930s,Hamline University,,,,
1975,In the Matter of J. Robert Oppenheimer: New Evidence from Government Files,Paper Presentation,,Cornell University,,In the Matter of J. Robert Oppenheimer: New Evidence from Government Files,Energy Research and Development Administration,9:30 AM,2,"Archives, United States",
1975,Teaching History: Faculty Development and Interinstitutional Cooperation,Paper Presentation,,Indiana University,,The AHA Faculty Development Project,American Historical Association,9:30 AM,2,"Historical profession, Teaching",
,,,,,,Planning and Implementing tile Project,"State University of New York, Stony Brook",,,,
1975,American Catholic Historical Association,Luncheon,,Catholic University of America,,"Presidential Address: James the Conqueror, King of Aragon-Catalonia, 1208-1276: Portrait and Self-Portrait",University of San Francisco,12:15 PM,2,,American Catholic Historical Association
1975,American Military Institute,Luncheon,,Temple University,,"Wine, Women, and V. D. in the American Expeditionary Force",John Carroll University,12:15 PM,2,Military,American Military Institute
1975,Conference on Asian History,Luncheon,,Cornell University,,The World Challenge to History,Yale University,12:15 PM,2,Asia,Conference on Asian History
1975,Conference on Latin American History,Luncheon,,University of Florida,,Process and Paradox in Latin American History,"Herbert H. Lehman College, City University of New York",12:15 PM,2,Latin America,Conference on Latin American History
